date;text;					
2017-11-15 02:38;"Going on board my @easyJet flight in @EdiAirport this afternoon	 with my suitable cabin luggage	 was an extremely upsetting experience. Saying that #EasyJet staff poorly managed the situation would be an understatement. They were rude and offensive. #NeverAgain pic.twitter.com/6PBfKmL9Un"			
2017-11-14 11:23;"#Larnaca / #Zypern - mit #Easyjet ab #Basel für 35 Euro p.P. (min. 2 Personen) #switzerland #schweiz #urlaub #exbir #dasistbillig #mittelmeer http:// bit.ly/2yZPWBD pic.twitter.com/Agso6dnPvK"					
2017-11-14 10:45;"Early start this morning #easyjet #amsterdam #manchester #window #rain #iphone8plus #photography #vsco #vscocam #photooftheday #sodium #cre … pic.twitter.com/LyEkGlrk7k"					
2017-11-14 10:00;"#EASYJET #FLIGHT + #HOTEL #CANARYISLAND #HOLIDAYS { http://www. awin1.com/cread.php?awin mid=6296&awinaffid=229659&clickref=&p=https%3A%2F%2Fwww.easyjet.com%2Fen%2Fholidays%2Fdeals%2Fsavings%2F … } #traveltuesday #beachthursday #ttot pic.twitter.com/dQYudjCz06"					
2017-11-14 05:39;"Celebrating 20 years of easyjet flights from Liverpool #flylpl #Easyjet pic.twitter.com/Xq1wKs0H2g"					
2017-11-14 02:41;"Today we have 5 months "anniversary" since denied boarding to @easyJet flight from #SXF — when can we expect anything? Why does it take so long to process a claim? #shame #easyJet #fail #EC261 /2004"					
2017-11-14 01:37;"Adventures of our 40te #Liebherr - last weekend: @STN_Airport #TeamCityLifting #citylifting #stansted #airport #easyjet @Liebherr_GB @Liebherr #comeflywithme @LH_Construction #crane #cranehire #busy #weekend #nofilter pic.twitter.com/wjY7K0XxiW – bei London Stansted Airport - STN"					
2017-11-14 01:02;"#JetLife #EASYjet loooool pic.twitter.com/qLFeEA8kg3"					
2017-11-14 00:53;"@ladepechedumidi 4h de retard sur un Paris-Toulouse. De mémoire chez vous c'est courant chez @easyJet ? #Easyjet"					
2017-11-13 23:48;"Did you know you can find us on Facebook? Head on over and post your story: http:// shrtn.click/2gBOKeo #EasyJet #complaints"					
2017-11-13 23:40;"Plus de 4h de retard...pas encore décollée d’Orly... @easyJet je vous déteste! #easyjet #toulouse #vol #inadmissible"					
2017-11-13 23:26;"That’s a #BAairways staff handbook she’s holding there. Not sure you’re gonna learn anything there #easyjet lady pic.twitter.com/cufkyWYJVp"					
2017-11-13 23:09;"@easyjet Allé nouvelle annonce décollage prevu a 22h03 (mytho). L'avion a décollé de Berlin apparemment...c'était déjà le cas ya 1h ... j'ai un peu peur maintenant. Personne ne sais rien dans cette compagnie en fait #easyjet #amateurisme ..."					
2017-11-13 23:02;"Ah oui j'oubliais aussi @easyJet votre application c'est de la m***e 25 sec pour s'ouvrir et elle plante a chaque click. Gros succès aujourd'hui #easyjet"					
2017-11-13 22:52;"#easyjet #mxp why tha app if I can't use it to chrck in this morning for evening flight? 2/2 #fail ?"					
2017-11-13 22:50;"#easyjet #mxp what's happening. Unsold seats and you put me on Standby? 1/2"					
2017-11-13 22:00;"#Easyjet #7Nights #Flight + #Hotel #BeachDeals { http:// ift.tt/2r643gR } from #London #LutonAirport #londonislovinit pic.twitter.com/MQVWFD9xII"					
2017-11-13 21:54;"EasyJet warns customers about an internet scam promising free tickets https:// paper.li/AlleyKat57/150 9904422?read=http%3A%2F%2Fwww.dailymail.co.uk%2Ftravel%2Ftravel_news%2Farticle%2D4819998%2FEasyJet%2Dwarns%2Dcustomers%2Dagainst%2Dinternet%2Dscam.html … #easyjet"					
